2010/12/27 14:58:06 -0800 534 | 1293490686 | 93399 | GenApps | ERROR |  | File: /home/y/share/pear/Yahoo/si30d/framework/cache/connectorCacheMgr.class.inc Function: () line: 441 connectorCacheMgrwrite: Failed to rename temp cache file /z/dr/fotmh3/us1/yahoo_site_admin/cache/collection/165ed8e4565f2578bb6141f81d82febd.www.fotmh3.com.93399
2011/01/04 08:43:43 -0800 957 | 1294159423 | 68313 | GenApps | FATAL |  | File: /home/y/share/pear/Yahoo/si30d/framework/connector/fileConnector.class.inc Function: () line: 696 fileConnector::validateResource@97 - Failed stat path /z/dr/fotmh3/us1/yahoo_site_admin/cache/collection/165ed8e4565f2578bb6141f81d82febd.www.fotmh3.com.68313 for resource cacheResource: fileConnector
2011/01/04 08:43:43 -0800 975 | 1294159423 | 68313 | GenApps | FATAL |  | File: /home/y/share/pear/Yahoo/si30d/framework/connector/fileConnector.class.inc Function: () line: 696 fileConnector::writeRecordData@536 - Failed to write file /z/dr/fotmh3/us1/yahoo_site_admin/cache/collection/165ed8e4565f2578bb6141f81d82febd.www.fotmh3.com.68313 for resource cacheResource: fileConnector
2011/01/04 08:43:43 -0800 983 | 1294159423 | 68313 | GenApps | ERROR |  | File: /home/y/share/pear/Yahoo/si30d/framework/cache/connectorCacheMgr.class.inc Function: () line: 441 connectorCacheMgrwrite: Failed to rename temp cache file /z/dr/fotmh3/us1/yahoo_site_admin/cache/collection/165ed8e4565f2578bb6141f81d82febd.www.fotmh3.com.68313
2011/01/13 04:42:47 -0800 070 | 1294922567 | 62794 | GenApps | FATAL |  | File: /home/y/share/pear/Yahoo/si30d/framework/connector/fileConnector.class.inc Function: () line: 696 fileConnector::validateResource@97 - Failed stat path /z/dr/fotmh3/us1/yahoo_site_admin/cache/collection/132315d6986a11c553e3c3ae6fa5bf4a.www.fotmh3.com.62794 for resource cacheResource: fileConnector
2011/01/13 04:42:47 -0800 088 | 1294922567 | 62794 | GenApps | FATAL |  | File: /home/y/share/pear/Yahoo/si30d/framework/connector/fileConnector.class.inc Function: () line: 696 fileConnector::writeRecordData@536 - Failed to write file /z/dr/fotmh3/us1/yahoo_site_admin/cache/collection/132315d6986a11c553e3c3ae6fa5bf4a.www.fotmh3.com.62794 for resource cacheResource: fileConnector
2011/01/13 04:42:47 -0800 099 | 1294922567 | 62794 | GenApps | ERROR |  | File: /home/y/share/pear/Yahoo/si30d/framework/cache/connectorCacheMgr.class.inc Function: () line: 441 connectorCacheMgrwrite: Failed to rename temp cache file /z/dr/fotmh3/us1/yahoo_site_admin/cache/collection/132315d6986a11c553e3c3ae6fa5bf4a.www.fotmh3.com.62794
2011/01/15 05:55:08 -0800 984 | 1295099708 | 66175 | GenApps | FATAL |  | File: /home/y/share/pear/Yahoo/si30d/framework/connector/fileConnector.class.inc Function: () line: 696 fileConnector::validateResource@97 - Failed stat path /z/dr/fotmh3/us1/yahoo_site_admin/cache/collection/132315d6986a11c553e3c3ae6fa5bf4a.fotmh3.com.66175 for resource cacheResource: fileConnector
2014/02/04 10:32:07 -0800 788 | 1391538727 | 57838 | GenApps | FATAL |  | File: /home/y/share/pear/Yahoo/si30d/framework/Controller.inc Function: () line: 236  Controller:seriousError code=404 msg=404 Page not found at: File:/home/y/share/pear/Yahoo/si30d/framework/Controller.inc line: 224
2014/07/07 04:38:03 -0700 661 | 1404733083 | 96795 | GenApps | FATAL |  | File: /home/y/share/pear/Yahoo/si30d/framework/Controller.inc Function: () line: 236  Controller:seriousError code=404 msg=404 Page not found at: File:/home/y/share/pear/Yahoo/si30d/framework/Controller.inc line: 224
2014/07/07 05:58:40 -0700 183 | 1404737920 | 38159 | GenApps | FATAL |  | File: /home/y/share/pear/Yahoo/si30d/framework/Controller.inc Function: () line: 236  Controller:seriousError code=404 msg=404 Page not found at: File:/home/y/share/pear/Yahoo/si30d/framework/Controller.inc line: 224
2014/10/01 01:07:24 -0700 907 | 1412150844 | 65382 | GenApps | WARN |  | File: /home/y/share/pear/Yahoo/si30d/framework/util/WHEnvironment.inc Function: () line: 1477 getMap: for fotmh3. Ignoring unexpected line:%%HOME%%/admin home pageGuid.home.001 1
2014/10/01 01:07:25 -0700 009 | 1412150845 | 65382 | GenApps | WARN |  | File: /home/y/share/pear/Yahoo/si30d/framework/util/WHEnvironment.inc Function: () line: 1477 getMap: for fotmh3. Ignoring unexpected line:%%HOME%%/admin home pageGuid.home.001 1
2014/10/01 01:07:32 -0700 550 | 1412150852 | 66280 | GenApps | WARN |  | File: /home/y/share/pear/Yahoo/si30d/framework/util/WHEnvironment.inc Function: () line: 1477 getMap: for fotmh3. Ignoring unexpected line:%%HOME%%/admin home pageGuid.home.001 1
2014/10/01 01:07:40 -0700 780 | 1412150860 | 3412 | GenApps | WARN |  | File: /home/y/share/pear/Yahoo/si30d/framework/util/WHEnvironment.inc Function: () line: 1477 getMap: for fotmh3. Ignoring unexpected line:%%HOME%%/admin home pageGuid.home.001 1
2014/10/01 01:07:40 -0700 836 | 1412150860 | 3412 | GenApps | WARN |  | File: /home/y/share/pear/Yahoo/si30d/framework/util/WHEnvironment.inc Function: () line: 1477 getMap: for fotmh3. Ignoring unexpected line:%%HOME%%/admin home pageGuid.home.001 1
2014/10/01 01:07:47 -0700 749 | 1412150867 | 36759 | GenApps | WARN |  | File: /home/y/share/pear/Yahoo/si30d/framework/util/WHEnvironment.inc Function: () line: 1477 getMap: for fotmh3. Ignoring unexpected line:%%HOME%%/admin home pageGuid.home.001 1
2015/04/14 18:12:01 -0700 546 | 1429060321 | 36718 | GenApps | FATAL |  | File: /home/y/share/pear/Yahoo/si30d/framework/connector/fileConnector.class.inc Function: () line: 696 fileConnector::validateResource@97 - Failed stat path /z/dr/fotmh3/us1/yahoo_site_admin/cache/collection/165ed8e4565f2578bb6141f81d82febd.fotmh3.com.36718 for resource cacheResource: fileConnector
2015/05/12 11:34:13 -0700 599 | 1431455653 | 82842 | GenApps | FATAL |  | File: /home/y/share/pear/Yahoo/si30d/framework/connector/fileConnector.class.inc Function: () line: 696 fileConnector::validateResource@97 - Failed stat path /z/dr/fotmh3/us1/yahoo_site_admin/cache/collection/95984269091298e67b3f495cf04a58c8.fotmh3.com.82842 for resource cacheResource: fileConnector
2016/11/30 13:59:37 -0800 500 | 1480543177 | 76349 | GenApps | FATAL |  | File: /home/y/share/pear/Yahoo/si30d/framework/Controller.inc Function: () line: 236  Controller:seriousError code=404 msg=404 Page not found at: File:/home/y/share/pear/Yahoo/si30d/framework/Controller.inc line: 224
2016/12/28 05:56:49 -0800 228 | 1482933409 | 55203 | GenApps | FATAL |  | File: /home/y/share/pear/Yahoo/si30d/framework/connector/fileConnector.class.inc Function: () line: 696 fileConnector::fetchRecordData@270 - Failed convert to xml for resource cacheResource: fileConnector
2016/12/28 14:24:09 -0800 113 | 1482963849 | 38539 | GenApps | FATAL |  | File: /home/y/share/pear/Yahoo/si30d/framework/connector/fileConnector.class.inc Function: () line: 696 fileConnector::fetchRecordData@270 - Failed convert to xml for resource cacheResource: fileConnector
2017/05/26 23:05:20 -0700 869 | 1495865120 | 13544 | GenApps | FATAL |  | File: /home/y/share/pear/Yahoo/si30d/framework/connector/fileConnector.class.inc Function: () line: 696 fileConnector::fetchRecordData@270 - Failed convert to xml for resource cacheResource: fileConnector
2017/05/26 23:05:20 -0700 890 | 1495865120 | 13544 | GenApps | FATAL |  | File: /home/y/share/pear/Yahoo/si30d/framework/connector/fileConnector.class.inc Function: () line: 696 fileConnector::fetchRecordData@270 - Failed convert to xml for resource cacheResource: fileConnector
